Time,Channel A
(ms),(mV)

0.76100000,11.02362156
0.76200000,14.17322731
0.76300000,12.20472336
0.76400000,13.77952671
0.76500000,11.02362156
0.76600000,11.02362156
0.76700000,11.81102276
0.76800000,11.02362156
0.76900000,11.41732216
0.77000000,13.38582611
0.77100000,9.05511761
0.77200000,14.17322731
0.77300000,11.81102276
0.77400000,12.59842396
0.77500000,12.59842396
0.77600000,9.44881821
0.77700000,12.20472336
0.77800000,10.62992096
0.77900000,11.81102276
0.78000000,13.38582611
0.78100000,11.41732216
0.78200000,11.81102276
0.78300000,12.59842396
0.78400000,12.20472336
0.78500000,12.20472336
0.78600000,10.62992096
0.78700000,11.02362156
0.78800000,9.05511761
0.78900000,10.23621941
0.79000000,11.02362156
0.79100000,11.02362156
0.79200000,12.59842396
0.79300000,10.62992096
0.79400000,10.23621941
0.79500000,12.20472336
0.79600000,11.02362156
0.79700000,11.81102276
0.79800000,9.05511761
0.79900000,9.44881821
0.80000000,11.02362156
0.80100000,11.81102276
0.80200000,12.99212551
0.80300000,9.84251881
0.80400000,12.20472336
0.80500000,8.66141701
0.80600000,9.84251881
0.80700000,12.99212551
0.80800000,11.41732216
0.80900000,9.05511761
0.81000000,9.44881821
0.81100000,10.23621941
0.81200000,11.41732216
0.81300000,9.84251881
0.81400000,14.17322731
0.81500000,9.05511761
0.81600000,10.23621941
0.81700000,9.84251881
0.81800000,10.62992096
0.81900000,10.23621941
0.82000000,9.05511761
0.82100000,9.05511761
0.82200000,11.02362156
0.82300000,9.44881821
0.82400000,12.99212551
0.82500000,9.44881821
0.82600000,9.05511761
0.82700000,11.02362156
0.82800000,9.84251881
0.82900000,9.84251881
0.83000000,9.44881821
0.83100000,7.87401533
0.83200000,10.23621941
0.83300000,8.66141701
0.83400000,11.41732216
0.83500000,10.62992096
0.83600000,7.08661366
0.83700000,11.02362156
0.83800000,9.44881821
0.83900000,10.23621941
0.84000000,10.62992096
0.84100000,10.23621941
0.84200000,11.02362156
0.84300000,10.23621941
0.84400000,10.23621941
0.84500000,9.44881821
0.84600000,5.51181078
0.84700000,11.81102276
0.84800000,10.23621941
0.84900000,9.44881821
0.85000000,9.44881821
0.85100000,9.84251881
0.85200000,11.81102276
0.85300000,11.41732216
0.85400000,11.02362156
0.85500000,11.41732216
0.85600000,8.66141701
0.85700000,12.99212551
0.85800000,11.02362156
0.85900000,10.23621941
0.86000000,11.41732216
0.86100000,11.02362156
0.86200000,12.59842396
0.86300000,11.81102276
0.86400000,9.84251881
0.86500000,10.23621941
0.86600000,9.05511761
0.86700000,12.20472336
0.86800000,12.59842396
0.86900000,9.44881821
0.87000000,11.41732216
0.87100000,10.23621941
0.87200000,12.99212551
0.87300000,11.81102276
0.87400000,11.02362156
0.87500000,13.38582611
0.87600000,10.62992096
0.87700000,11.81102276
0.87800000,12.99212551
0.87900000,9.84251881
0.88000000,12.59842396
0.88100000,11.02362156
0.88200000,14.17322731
0.88300000,12.59842396
0.88400000,11.81102276
0.88500000,12.99212551
0.88600000,11.81102276
0.88700000,12.59842396
0.88800000,14.56692791
0.88900000,9.44881821
0.89000000,13.38582611
0.89100000,11.41732216
0.89200000,14.17322731
0.89300000,12.99212551
0.89400000,11.81102276
0.89500000,11.81102276
0.89600000,12.20472336
0.89700000,12.59842396
0.89800000,12.59842396
0.89900000,10.62992096
0.90000000,12.20472336
0.90100000,12.99212551
0.90200000,12.59842396
0.90300000,12.59842396
0.90400000,10.23621941
0.90500000,12.59842396
0.90600000,9.84251881
0.90700000,12.99212551
0.90800000,12.20472336
0.90900000,9.44881821
0.91000000,11.41732216
0.91100000,11.02362156
0.91200000,12.99212551
0.91300000,11.81102276
0.91400000,10.62992096
0.91500000,12.99212551
0.91600000,10.23621941
0.91700000,11.81102276
0.91800000,10.23621941
0.91900000,9.05511761
0.92000000,9.44881821
0.92100000,11.81102276
0.92200000,11.02362156
0.92300000,13.77952671
0.92400000,10.62992096
0.92500000,12.59842396
0.92600000,11.02362156
0.92700000,10.23621941
0.92800000,11.41732216
0.92900000,11.41732216
0.93000000,9.44881821
0.93100000,11.02362156
0.93200000,9.44881821
0.93300000,11.41732216
0.93400000,9.44881821
0.93500000,12.20472336
0.93600000,9.84251881
0.93700000,10.62992096
0.93800000,11.81102276
0.93900000,10.23621941
0.94000000,9.05511761
0.94100000,9.44881821
0.94200000,9.44881821
0.94300000,12.20472336
0.94400000,8.66141701
0.94500000,10.62992096
0.94600000,9.05511761
0.94700000,9.05511761
0.94800000,11.02362156
0.94900000,9.84251881
0.95000000,8.26771641
0.95100000,10.23621941
0.95200000,9.44881821
0.95300000,11.02362156
0.95400000,7.48031425
0.95500000,10.23621941
0.95600000,9.84251881
0.95700000,9.05511761
0.95800000,10.23621941
0.95900000,7.87401533
0.96000000,8.66141701
0.96100000,7.48031425
0.96200000,9.84251881
0.96300000,10.62992096
0.96400000,8.26771641
0.96500000,8.66141701
0.96600000,8.66141701
0.96700000,8.26771641
0.96800000,10.62992096
0.96900000,8.66141701
0.97000000,9.84251881
0.97100000,8.26771641
0.97200000,10.23621941
0.97300000,11.81102276
0.97400000,10.23621941
0.97500000,8.66141701
0.97600000,10.62992096
0.97700000,7.87401533
0.97800000,9.84251881
0.97900000,9.84251881
0.98000000,8.26771641
0.98100000,8.66141701
0.98200000,8.26771641
0.98300000,10.62992096
0.98400000,11.41732216
0.98500000,7.08661366
0.98600000,10.62992096
0.98700000,8.26771641
0.98800000,11.02362156
0.98900000,10.23621941
0.99000000,9.84251881
0.99100000,9.84251881
0.99200000,9.44881821
0.99300000,10.62992096
0.99400000,13.38582611
0.99500000,9.84251881
0.99600000,11.02362156
0.99700000,9.44881821
0.99800000,11.81102276
0.99900000,10.62992096
1.00000000,9.44881821
1.00100000,10.62992096
